timestamp,bath_l,laundry_l,kitchen_l,other_l
2026-03-29 07:00,3840,1120,710,140
2026-03-30 07:00,3950,1080,690,110
2026-03-31 07:00,4100,1350,780,160
2026-04-01 07:00,3760,1200,720,130
2026-04-02 07:00,3680,1050,680,105
2026-04-03 07:00,3550,980,650,90
2026-04-04 07:00,3480,920,630,85
2026-04-05 07:00,4020,1180,740,145
2026-04-06 07:00,3900,1140,725,135
2026-04-07 07:00,4250,1420,800,175
2026-04-08 07:00,4180,1380,790,165
2026-04-09 07:00,3820,1110,705,125
2026-04-10 07:00,3640,960,660,95
2026-04-11 07:00,3510,910,640,88
2026-04-12 07:00,4060,1230,750,150
2026-04-13 07:00,3970,1160,730,138
2026-04-14 07:00,4310,1470,815,180
2026-04-15 07:00,4220,1410,805,170
2026-04-16 07:00,3860,1140,715,128
2026-04-17 07:00,3700,1010,668,98
2026-04-18 07:00,3570,950,645,92
2026-04-19 07:00,4090,1260,755,155
2026-04-20 07:00,3980,1190,738,142
2026-04-21 07:00,4340,1500,820,185
2026-04-22 07:00,4260,1450,810,172
2026-04-23 07:00,3880,1155,718,132
2026-04-24 07:00,3720,1030,672,100
2026-04-25 07:00,3590,965,648,94
2026-04-26 07:00,4110,1280,758,158
2026-04-27 07:00,4000,1210,742,145
